"State_County","State","STATE_FIPS","CNTY_FIPS","COUNTY","COUNTY2","FIPS","FIPS2","Freq"
"AK_Aleutians East Borough","AK","02","013","Aleutians East Borough","Aleutians East Borough","02013","f02013",0
"AK_Aleutians West Census Area","AK","02","016","Aleutians West Census Area","Aleutians West Census Area","02016","f02016",0
"AK_Anchorage Municipality","AK","02","020","Anchorage Municipality","Anchorage Municipality","02020","f02020",18
"AK_Bethel Census Area","AK","02","050","Bethel Census Area","Bethel Census Area","02050","f02050",7
"AK_Bristol Bay Borough","AK","02","060","Bristol Bay Borough","Bristol Bay Borough","02060","f02060",0
"AK_Denali Borough","AK","02","068","Denali Borough","Denali Borough","02068","f02068",0
"AK_Dillingham Census Area","AK","02","070","Dillingham Census Area","Dillingham Census Area","02070","f02070",2
"AK_Fairbanks North Star Borough","AK","02","090","Fairbanks North Star Borough","Fairbanks North Star Borough","02090","f02090",7
"AK_Haines Borough","AK","02","100","Haines Borough","Haines Borough","02100","f02100",0
"AK_Hoonah-Angoon Census Area","AK","02","105","Hoonah-Angoon Census Area","Hoonah-Angoon Census Area","02105","f02105",0
"AK_Juneau City and Borough","AK","02","110","Juneau City and Borough","Juneau City and Borough","02110","f02110",0
"AK_Kenai Peninsula Borough","AK","02","122","Kenai Peninsula Borough","Kenai Peninsula Borough","02122","f02122",21
"AK_Ketchikan Gateway Borough","AK","02","130","Ketchikan Gateway Borough","Ketchikan Gateway Borough","02130","f02130",0
"AK_Kodiak Island Borough","AK","02","150","Kodiak Island Borough","Kodiak Island Borough","02150","f02150",0
"AK_Lake and Peninsula Borough","AK","02","164","Lake and Peninsula Borough","Lake and Peninsula Borough","02164","f02164",4
"AK_Matanuska-Susitna Borough","AK","02","170","Matanuska-Susitna Borough","Matanuska-Susitna Borough","02170","f02170",36
"AK_Nome Census Area","AK","02","180","Nome Census Area","Nome Census Area","02180","f02180",11
"AK_North Slope Borough","AK","02","185","North Slope Borough","North Slope Borough","02185","f02185",0
"AK_Northwest Arctic Borough","AK","02","188","Northwest Arctic Borough","Northwest Arctic Borough","02188","f02188",0
"AK_Petersburg Census Area","AK","02","195","Petersburg Census Area","Petersburg Census Area","02195","f02195",0
"AK_Prince of Wales-Hyder Census Area","AK","02","198","Prince of Wales-Hyder Census Area","Prince of Wales-Hyder Census Area","02198","f02198",0
"AK_Sitka City and Borough","AK","02","220","Sitka City and Borough","Sitka City and Borough","02220","f02220",0
"AK_Skagway Municipality","AK","02","230","Skagway Municipality","Skagway Municipality","02230","f02230",0
"AK_Southeast Fairbanks Census Area","AK","02","240","Southeast Fairbanks Census Area","Southeast Fairbanks Census Area","02240","f02240",0
"AK_Valdez-Cordova Census Area","AK","02","261","Valdez-Cordova Census Area","Valdez-Cordova Census Area","02261","f02261",0
"AK_Wade Hampton Census Area","AK","02","270","Wade Hampton Census Area","Wade Hampton Census Area","02270","f02270",2
"AK_Wrangell City and Borough","AK","02","275","Wrangell City and Borough","Wrangell City and Borough","02275","f02275",0
"AK_Yakutat City and Borough","AK","02","282","Yakutat City and Borough","Yakutat City and Borough","02282","f02282",0
"AK_Yukon-Koyukuk Census Area","AK","02","290","Yukon-Koyukuk Census Area","Yukon-Koyukuk Census Area","02290","f02290",1
"AL_Autauga","AL","01","001","Autauga ","Autauga ","01001","f01001",0
"AL_Baldwin","AL","01","003","Baldwin ","Baldwin ","01003","f01003",0
"AL_Barbour","AL","01","005","Barbour ","Barbour ","01005","f01005",0
"AL_Bibb","AL","01","007","Bibb ","Bibb ","01007","f01007",0
"AL_Blount","AL","01","009","Blount ","Blount ","01009","f01009",0
"AL_Bullock","AL","01","011","Bullock ","Bullock ","01011","f01011",0
"AL_Butler","AL","01","013","Butler ","Butler ","01013","f01013",0
"AL_Calhoun","AL","01","015","Calhoun ","Calhoun ","01015","f01015",0
"AL_Chambers","AL","01","017","Chambers ","Chambers ","01017","f01017",0
"AL_Cherokee","AL","01","019","Cherokee ","Cherokee ","01019","f01019",0
"AL_Chilton","AL","01","021","Chilton ","Chilton ","01021","f01021",0
"AL_Choctaw","AL","01","023","Choctaw ","Choctaw ","01023","f01023",0
"AL_Clarke","AL","01","025","Clarke ","Clarke ","01025","f01025",0
"AL_Clay","AL","01","027","Clay ","Clay ","01027","f01027",0
"AL_Cleburne","AL","01","029","Cleburne ","Cleburne ","01029","f01029",0
"AL_Coffee","AL","01","031","Coffee ","Coffee ","01031","f01031",0
"AL_Colbert","AL","01","033","Colbert ","Colbert ","01033","f01033",0
"AL_Conecuh","AL","01","035","Conecuh ","Conecuh ","01035","f01035",0
"AL_Coosa","AL","01","037","Coosa ","Coosa ","01037","f01037",0
"AL_Covington","AL","01","039","Covington ","Covington ","01039","f01039",0
"AL_Crenshaw","AL","01","041","Crenshaw ","Crenshaw ","01041","f01041",0
"AL_Cullman","AL","01","043","Cullman ","Cullman ","01043","f01043",0
"AL_Dale","AL","01","045","Dale ","Dale ","01045","f01045",0
"AL_Dallas","AL","01","047","Dallas ","Dallas ","01047","f01047",0
"AL_DeKalb","AL","01","049","DeKalb ","DeKalb ","01049","f01049",0
"AL_Elmore","AL","01","051","Elmore ","Elmore ","01051","f01051",0
"AL_Escambia","AL","01","053","Escambia ","Escambia ","01053","f01053",0
"AL_Etowah","AL","01","055","Etowah ","Etowah ","01055","f01055",0
"AL_Fayette","AL","01","057","Fayette ","Fayette ","01057","f01057",0
"AL_Franklin","AL","01","059","Franklin ","Franklin ","01059","f01059",0
"AL_Geneva","AL","01","061","Geneva ","Geneva ","01061","f01061",0
"AL_Greene","AL","01","063","Greene ","Greene ","01063","f01063",0
"AL_Hale","AL","01","065","Hale ","Hale ","01065","f01065",0
"AL_Henry","AL","01","067","Henry ","Henry ","01067","f01067",0
"AL_Houston","AL","01","069","Houston ","Houston ","01069","f01069",0
"AL_Jackson","AL","01","071","Jackson ","Jackson ","01071","f01071",0
"AL_Jefferson","AL","01","073","Jefferson ","Jefferson ","01073","f01073",0
"AL_Lamar","AL","01","075","Lamar ","Lamar ","01075","f01075",0
"AL_Lauderdale","AL","01","077","Lauderdale ","Lauderdale ","01077","f01077",0
"AL_Lawrence","AL","01","079","Lawrence ","Lawrence ","01079","f01079",0
"AL_Lee","AL","01","081","Lee ","Lee ","01081","f01081",0
"AL_Limestone","AL","01","083","Limestone ","Limestone ","01083","f01083",0
"AL_Lowndes","AL","01","085","Lowndes ","Lowndes ","01085","f01085",0
"AL_Macon","AL","01","087","Macon ","Macon ","01087","f01087",0
"AL_Madison","AL","01","089","Madison ","Madison ","01089","f01089",0
"AL_Marengo","AL","01","091","Marengo ","Marengo ","01091","f01091",0
"AL_Marion","AL","01","093","Marion ","Marion ","01093","f01093",0
"AL_Marshall","AL","01","095","Marshall ","Marshall ","01095","f01095",0
"AL_Mobile","AL","01","097","Mobile ","Mobile ","01097","f01097",0
"AL_Monroe","AL","01","099","Monroe ","Monroe ","01099","f01099",0
"AL_Montgomery","AL","01","101","Montgomery ","Montgomery ","01101","f01101",0
"AL_Morgan","AL","01","103","Morgan ","Morgan ","01103","f01103",0
"AL_Perry","AL","01","105","Perry ","Perry ","01105","f01105",0
"AL_Pickens","AL","01","107","Pickens ","Pickens ","01107","f01107",0
"AL_Pike","AL","01","109","Pike ","Pike ","01109","f01109",0
"AL_Randolph","AL","01","111","Randolph ","Randolph ","01111","f01111",0
"AL_Russell","AL","01","113","Russell ","Russell ","01113","f01113",0
"AL_Shelby","AL","01","117","Shelby ","Shelby ","01117","f01117",0
"AL_St. Clair","AL","01","115","St. Clair ","St. Clair ","01115","f01115",0
"AL_Sumter","AL","01","119","Sumter ","Sumter ","01119","f01119",0
"AL_Talladega","AL","01","121","Talladega ","Talladega ","01121","f01121",0
"AL_Tallapoosa","AL","01","123","Tallapoosa ","Tallapoosa ","01123","f01123",0
"AL_Tuscaloosa","AL","01","125","Tuscaloosa ","Tuscaloosa ","01125","f01125",0
"AL_Walker","AL","01","127","Walker ","Walker ","01127","f01127",0
"AL_Washington","AL","01","129","Washington ","Washington ","01129","f01129",0
"AL_Wilcox","AL","01","131","Wilcox ","Wilcox ","01131","f01131",0
"AL_Winston","AL","01","133","Winston ","Winston ","01133","f01133",0
"AR_Arkansas","AR","05","001","Arkansas ","Arkansas ","05001","f05001",0
"AR_Ashley","AR","05","003","Ashley ","Ashley ","05003","f05003",0
"AR_Baxter","AR","05","005","Baxter ","Baxter ","05005","f05005",4
"AR_Benton","AR","05","007","Benton ","Benton ","05007","f05007",0
"AR_Boone","AR","05","009","Boone ","Boone ","05009","f05009",0
"AR_Bradley","AR","05","011","Bradley ","Bradley ","05011","f05011",0
"AR_Calhoun","AR","05","013","Calhoun ","Calhoun ","05013","f05013",0
"AR_Carroll","AR","05","015","Carroll ","Carroll ","05015","f05015",0
"AR_Chicot","AR","05","017","Chicot ","Chicot ","05017","f05017",0
"AR_Clark","AR","05","019","Clark ","Clark ","05019","f05019",0
"AR_Clay","AR","05","021","Clay ","Clay ","05021","f05021",0
"AR_Cleburne","AR","05","023","Cleburne ","Cleburne ","05023","f05023",0
"AR_Cleveland","AR","05","025","Cleveland ","Cleveland ","05025","f05025",0
"AR_Columbia","AR","05","027","Columbia ","Columbia ","05027","f05027",0
"AR_Conway","AR","05","029","Conway ","Conway ","05029","f05029",0
"AR_Craighead","AR","05","031","Craighead ","Craighead ","05031","f05031",0
"AR_Crawford","AR","05","033","Crawford ","Crawford ","05033","f05033",0
"AR_Crittenden","AR","05","035","Crittenden ","Crittenden ","05035","f05035",0
"AR_Cross","AR","05","037","Cross ","Cross ","05037","f05037",0
"AR_Dallas","AR","05","039","Dallas ","Dallas ","05039","f05039",0
"AR_Desha","AR","05","041","Desha ","Desha ","05041","f05041",0
"AR_Drew","AR","05","043","Drew ","Drew ","05043","f05043",0
"AR_Faulkner","AR","05","045","Faulkner ","Faulkner ","05045","f05045",0
"AR_Franklin","AR","05","047","Franklin ","Franklin ","05047","f05047",0
"AR_Fulton","AR","05","049","Fulton ","Fulton ","05049","f05049",0
"AR_Garland","AR","05","051","Garland ","Garland ","05051","f05051",0
"AR_Grant","AR","05","053","Grant ","Grant ","05053","f05053",0
"AR_Greene","AR","05","055","Greene ","Greene ","05055","f05055",0
"AR_Hempstead","AR","05","057","Hempstead ","Hempstead ","05057","f05057",0
"AR_Hot Spring","AR","05","059","Hot Spring ","Hot Spring ","05059","f05059",0
"AR_Howard","AR","05","061","Howard ","Howard ","05061","f05061",0
"AR_Independence","AR","05","063","Independence ","Independence ","05063","f05063",0
"AR_Izard","AR","05","065","Izard ","Izard ","05065","f05065",0
"AR_Jackson","AR","05","067","Jackson ","Jackson ","05067","f05067",0
"AR_Jefferson","AR","05","069","Jefferson ","Jefferson ","05069","f05069",0
"AR_Johnson","AR","05","071","Johnson ","Johnson ","05071","f05071",0
"AR_Lafayette","AR","05","073","Lafayette ","Lafayette ","05073","f05073",0
"AR_Lawrence","AR","05","075","Lawrence ","Lawrence ","05075","f05075",0
"AR_Lee","AR","05","077","Lee ","Lee ","05077","f05077",0
"AR_Lincoln","AR","05","079","Lincoln ","Lincoln ","05079","f05079",0
"AR_Little River","AR","05","081","Little River ","Little River ","05081","f05081",0
"AR_Logan","AR","05","083","Logan ","Logan ","05083","f05083",0
"AR_Lonoke","AR","05","085","Lonoke ","Lonoke ","05085","f05085",0
"AR_Madison","AR","05","087","Madison ","Madison ","05087","f05087",0
"AR_Marion","AR","05","089","Marion ","Marion ","05089","f05089",0
"AR_Miller","AR","05","091","Miller ","Miller ","05091","f05091",0
"AR_Mississippi","AR","05","093","Mississippi ","Mississippi ","05093","f05093",0
"AR_Monroe","AR","05","095","Monroe ","Monroe ","05095","f05095",0
"AR_Montgomery","AR","05","097","Montgomery ","Montgomery ","05097","f05097",0
"AR_Nevada","AR","05","099","Nevada ","Nevada ","05099","f05099",0
"AR_Newton","AR","05","101","Newton ","Newton ","05101","f05101",0
"AR_Ouachita","AR","05","103","Ouachita ","Ouachita ","05103","f05103",0
"AR_Perry","AR","05","105","Perry ","Perry ","05105","f05105",0
"AR_Phillips","AR","05","107","Phillips ","Phillips ","05107","f05107",0
"AR_Pike","AR","05","109","Pike ","Pike ","05109","f05109",0
"AR_Poinsett","AR","05","111","Poinsett ","Poinsett ","05111","f05111",0
"AR_Polk","AR","05","113","Polk ","Polk ","05113","f05113",0
"AR_Pope","AR","05","115","Pope ","Pope ","05115","f05115",0
"AR_Prairie","AR","05","117","Prairie ","Prairie ","05117","f05117",0
"AR_Pulaski","AR","05","119","Pulaski ","Pulaski ","05119","f05119",0
"AR_Randolph","AR","05","121","Randolph ","Randolph ","05121","f05121",0
"AR_Saline","AR","05","125","Saline ","Saline ","05125","f05125",0
"AR_Scott","AR","05","127","Scott ","Scott ","05127","f05127",0
"AR_Searcy","AR","05","129","Searcy ","Searcy ","05129","f05129",0
"AR_Sebastian","AR","05","131","Sebastian ","Sebastian ","05131","f05131",0
"AR_Sevier","AR","05","133","Sevier ","Sevier ","05133","f05133",0
"AR_Sharp","AR","05","135","Sharp ","Sharp ","05135","f05135",0
"AR_St. Francis","AR","05","123","St. Francis ","St. Francis ","05123","f05123",0
"AR_Stone","AR","05","137","Stone ","Stone ","05137","f05137",0
"AR_Union","AR","05","139","Union ","Union ","05139","f05139",0
"AR_Van Buren","AR","05","141","Van Buren ","Van Buren ","05141","f05141",0
"AR_Washington","AR","05","143","Washington ","Washington ","05143","f05143",0
"AR_White","AR","05","145","White ","White ","05145","f05145",0
"AR_Woodruff","AR","05","147","Woodruff ","Woodruff ","05147","f05147",0
"AR_Yell","AR","05","149","Yell ","Yell ","05149","f05149",0
"AS_Eastern District","AS","60","010","Eastern District","Eastern District","60010","f60010",0
"AS_Manu'a District","AS","60","020","Manu'a District","Manu'a District","60020","f60020",0
"AS_Rose Island","AS","60","030","Rose Island","Rose Island","60030","f60030",0
"AS_Swains Island","AS","60","040","Swains Island","Swains Island","60040","f60040",0
"AS_Western District","AS","60","050","Western District","Western District","60050","f60050",0
"AZ_Apache","AZ","04","001","Apache ","Apache ","04001","f04001",0
"AZ_Cochise","AZ","04","003","Cochise ","Cochise ","04003","f04003",23
"AZ_Coconino","AZ","04","005","Coconino ","Coconino ","04005","f04005",6
"AZ_Gila","AZ","04","007","Gila ","Gila ","04007","f04007",12
"AZ_Graham","AZ","04","009","Graham ","Graham ","04009","f04009",0
"AZ_Greenlee","AZ","04","011","Greenlee ","Greenlee ","04011","f04011",5
"AZ_La Paz","AZ","04","012","La Paz ","La Paz ","04012","f04012",14
"AZ_Maricopa","AZ","04","013","Maricopa ","Maricopa ","04013","f04013",87
"AZ_Mohave","AZ","04","015","Mohave ","Mohave ","04015","f04015",23
"AZ_Navajo","AZ","04","017","Navajo ","Navajo ","04017","f04017",5
"AZ_Pima","AZ","04","019","Pima ","Pima ","04019","f04019",29
"AZ_Pinal","AZ","04","021","Pinal ","Pinal ","04021","f04021",60
"AZ_Santa Cruz","AZ","04","023","Santa Cruz ","Santa Cruz ","04023","f04023",11
"AZ_Yavapai","AZ","04","025","Yavapai ","Yavapai ","04025","f04025",141
"AZ_Yuma","AZ","04","027","Yuma ","Yuma ","04027","f04027",68
"CA_Alameda","CA","06","001","Alameda ","Alameda ","06001","f06001",0
"CA_Alpine","CA","06","003","Alpine ","Alpine ","06003","f06003",0
"CA_Amador","CA","06","005","Amador ","Amador ","06005","f06005",0
"CA_Butte","CA","06","007","Butte ","Butte ","06007","f06007",4
"CA_Calaveras","CA","06","009","Calaveras ","Calaveras ","06009","f06009",0
"CA_Colusa","CA","06","011","Colusa ","Colusa ","06011","f06011",11
"CA_Contra Costa","CA","06","013","Contra Costa ","Contra Costa ","06013","f06013",20
"CA_Del Norte","CA","06","015","Del Norte ","Del Norte ","06015","f06015",0
"CA_El Dorado","CA","06","017","El Dorado ","El Dorado ","06017","f06017",6
"CA_Fresno","CA","06","019","Fresno ","Fresno ","06019","f06019",103
"CA_Glenn","CA","06","021","Glenn ","Glenn ","06021","f06021",0
"CA_Humboldt","CA","06","023","Humboldt ","Humboldt ","06023","f06023",0
"CA_Imperial","CA","06","025","Imperial ","Imperial ","06025","f06025",1
"CA_Inyo","CA","06","027","Inyo ","Inyo ","06027","f06027",37
"CA_Kern","CA","06","029","Kern ","Kern ","06029","f06029",389
"CA_Kings","CA","06","031","Kings ","Kings ","06031","f06031",90
"CA_Lake","CA","06","033","Lake ","Lake ","06033","f06033",0
"CA_Lassen","CA","06","035","Lassen ","Lassen ","06035","f06035",3
"CA_Los Angeles","CA","06","037","Los Angeles ","Los Angeles ","06037","f06037",32
"CA_Madera","CA","06","039","Madera ","Madera ","06039","f06039",173
"CA_Marin","CA","06","041","Marin ","Marin ","06041","f06041",0
"CA_Mariposa","CA","06","043","Mariposa ","Mariposa ","06043","f06043",9
"CA_Mendocino","CA","06","045","Mendocino ","Mendocino ","06045","f06045",4
"CA_Merced","CA","06","047","Merced ","Merced ","06047","f06047",11
"CA_Modoc","CA","06","049","Modoc ","Modoc ","06049","f06049",0
"CA_Mono","CA","06","051","Mono ","Mono ","06051","f06051",16
"CA_Monterey","CA","06","053","Monterey ","Monterey ","06053","f06053",111
"CA_Napa","CA","06","055","Napa ","Napa ","06055","f06055",4
"CA_Nevada","CA","06","057","Nevada ","Nevada ","06057","f06057",9
"CA_Orange","CA","06","059","Orange ","Orange ","06059","f06059",0
"CA_Placer","CA","06","061","Placer ","Placer ","06061","f06061",5
"CA_Plumas","CA","06","063","Plumas ","Plumas ","06063","f06063",18
"CA_Riverside","CA","06","065","Riverside ","Riverside ","06065","f06065",30
"CA_Sacramento","CA","06","067","Sacramento ","Sacramento ","06067","f06067",83
"CA_San Benito","CA","06","069","San Benito ","San Benito ","06069","f06069",11
"CA_San Bernardino","CA","06","071","San Bernardino ","San Bernardino ","06071","f06071",67
"CA_San Diego","CA","06","073","San Diego ","San Diego ","06073","f06073",7
"CA_San Francisco","CA","06","075","San Francisco ","San Francisco ","06075","f06075",0
"CA_San Joaquin","CA","06","077","San Joaquin ","San Joaquin ","06077","f06077",92
"CA_San Luis Obispo","CA","06","079","San Luis Obispo ","San Luis Obispo ","06079","f06079",24
"CA_San Mateo","CA","06","081","San Mateo ","San Mateo ","06081","f06081",0
"CA_Santa Barbara","CA","06","083","Santa Barbara ","Santa Barbara ","06083","f06083",8
"CA_Santa Clara","CA","06","085","Santa Clara ","Santa Clara ","06085","f06085",0
"CA_Santa Cruz","CA","06","087","Santa Cruz ","Santa Cruz ","06087","f06087",4
"CA_Shasta","CA","06","089","Shasta ","Shasta ","06089","f06089",4
"CA_Sierra","CA","06","091","Sierra ","Sierra ","06091","f06091",9
"CA_Siskiyou","CA","06","093","Siskiyou ","Siskiyou ","06093","f06093",0
"CA_Solano","CA","06","095","Solano ","Solano ","06095","f06095",8
"CA_Sonoma","CA","06","097","Sonoma ","Sonoma ","06097","f06097",108
"CA_Stanislaus","CA","06","099","Stanislaus ","Stanislaus ","06099","f06099",162
"CA_Sutter","CA","06","101","Sutter ","Sutter ","06101","f06101",77
"CA_Tehama","CA","06","103","Tehama ","Tehama ","06103","f06103",20
"CA_Trinity","CA","06","105","Trinity ","Trinity ","06105","f06105",9
"CA_Tulare","CA","06","107","Tulare ","Tulare ","06107","f06107",60
"CA_Tuolumne","CA","06","109","Tuolumne ","Tuolumne ","06109","f06109",0
"CA_Ventura","CA","06","111","Ventura ","Ventura ","06111","f06111",3
"CA_Yolo","CA","06","113","Yolo ","Yolo ","06113","f06113",9
"CA_Yuba","CA","06","115","Yuba ","Yuba ","06115","f06115",0
"CO_Adams","CO","08","001","Adams ","Adams ","08001","f08001",0
"CO_Alamosa","CO","08","003","Alamosa ","Alamosa ","08003","f08003",16
"CO_Arapahoe","CO","08","005","Arapahoe ","Arapahoe ","08005","f08005",0
"CO_Archuleta","CO","08","007","Archuleta ","Archuleta ","08007","f08007",0
"CO_Baca","CO","08","009","Baca ","Baca ","08009","f08009",0
"CO_Bent","CO","08","011","Bent ","Bent ","08011","f08011",0
"CO_Boulder","CO","08","013","Boulder ","Boulder ","08013","f08013",0
"CO_Broomfield","CO","08","014","Broomfield ","Broomfield ","08014","f08014",0
"CO_Chaffee","CO","08","015","Chaffee ","Chaffee ","08015","f08015",0
"CO_Cheyenne","CO","08","017","Cheyenne ","Cheyenne ","08017","f08017",0
"CO_Clear Creek","CO","08","019","Clear Creek ","Clear Creek ","08019","f08019",0
"CO_Conejos","CO","08","021","Conejos ","Conejos ","08021","f08021",0
"CO_Costilla","CO","08","023","Costilla ","Costilla ","08023","f08023",0
"CO_Crowley","CO","08","025","Crowley ","Crowley ","08025","f08025",0
"CO_Custer","CO","08","027","Custer ","Custer ","08027","f08027",0
"CO_Delta","CO","08","029","Delta ","Delta ","08029","f08029",0
"CO_Denver","CO","08","031","Denver ","Denver ","08031","f08031",0
"CO_Dolores","CO","08","033","Dolores ","Dolores ","08033","f08033",0
"CO_Douglas","CO","08","035","Douglas ","Douglas ","08035","f08035",0
"CO_Eagle","CO","08","037","Eagle ","Eagle ","08037","f08037",0
"CO_El Paso","CO","08","041","El Paso ","El Paso ","08041","f08041",0
"CO_Elbert","CO","08","039","Elbert ","Elbert ","08039","f08039",0
"CO_Fremont","CO","08","043","Fremont ","Fremont ","08043","f08043",0
"CO_Garfield","CO","08","045","Garfield ","Garfield ","08045","f08045",0
"CO_Gilpin","CO","08","047","Gilpin ","Gilpin ","08047","f08047",0
"CO_Grand","CO","08","049","Grand ","Grand ","08049","f08049",0
"CO_Gunnison","CO","08","051","Gunnison ","Gunnison ","08051","f08051",0
"CO_Hinsdale","CO","08","053","Hinsdale ","Hinsdale ","08053","f08053",0
"CO_Huerfano","CO","08","055","Huerfano ","Huerfano ","08055","f08055",0
"CO_Jackson","CO","08","057","Jackson ","Jackson ","08057","f08057",0
"CO_Jefferson","CO","08","059","Jefferson ","Jefferson ","08059","f08059",0
"CO_Kiowa","CO","08","061","Kiowa ","Kiowa ","08061","f08061",0
"CO_Kit Carson","CO","08","063","Kit Carson ","Kit Carson ","08063","f08063",0
"CO_La Plata","CO","08","067","La Plata ","La Plata ","08067","f08067",0
"CO_Lake","CO","08","065","Lake ","Lake ","08065","f08065",0
"CO_Larimer","CO","08","069","Larimer ","Larimer ","08069","f08069",0
"CO_Las Animas","CO","08","071","Las Animas ","Las Animas ","08071","f08071",0
"CO_Lincoln","CO","08","073","Lincoln ","Lincoln ","08073","f08073",0
"CO_Logan","CO","08","075","Logan ","Logan ","08075","f08075",3
"CO_Mesa","CO","08","077","Mesa ","Mesa ","08077","f08077",0
"CO_Mineral","CO","08","079","Mineral ","Mineral ","08079","f08079",0
"CO_Moffat","CO","08","081","Moffat ","Moffat ","08081","f08081",0
"CO_Montezuma","CO","08","083","Montezuma ","Montezuma ","08083","f08083",0
"CO_Montrose","CO","08","085","Montrose ","Montrose ","08085","f08085",0
"CO_Morgan","CO","08","087","Morgan ","Morgan ","08087","f08087",0
"CO_Otero","CO","08","089","Otero ","Otero ","08089","f08089",0
"CO_Ouray","CO","08","091","Ouray ","Ouray ","08091","f08091",0
"CO_Park","CO","08","093","Park ","Park ","08093","f08093",0
"CO_Phillips","CO","08","095","Phillips ","Phillips ","08095","f08095",0
"CO_Pitkin","CO","08","097","Pitkin ","Pitkin ","08097","f08097",0
"CO_Prowers","CO","08","099","Prowers ","Prowers ","08099","f08099",0
"CO_Pueblo","CO","08","101","Pueblo ","Pueblo ","08101","f08101",0
"CO_Rio Blanco","CO","08","103","Rio Blanco ","Rio Blanco ","08103","f08103",0
"CO_Rio Grande","CO","08","105","Rio Grande ","Rio Grande ","08105","f08105",0
"CO_Routt","CO","08","107","Routt ","Routt ","08107","f08107",0
"CO_Saguache","CO","08","109","Saguache ","Saguache ","08109","f08109",0
"CO_San Juan","CO","08","111","San Juan ","San Juan ","08111","f08111",0
"CO_San Miguel","CO","08","113","San Miguel ","San Miguel ","08113","f08113",0
"CO_Sedgwick","CO","08","115","Sedgwick ","Sedgwick ","08115","f08115",0
"CO_Summit","CO","08","117","Summit ","Summit ","08117","f08117",0
"CO_Teller","CO","08","119","Teller ","Teller ","08119","f08119",0
"CO_Washington","CO","08","121","Washington ","Washington ","08121","f08121",1
"CO_Weld","CO","08","123","Weld ","Weld ","08123","f08123",0
"CO_Yuma","CO","08","125","Yuma ","Yuma ","08125","f08125",4
"CT_Fairfield","CT","09","001","Fairfield ","Fairfield ","09001","f09001",8
"CT_Hartford","CT","09","003","Hartford ","Hartford ","09003","f09003",2
"CT_Litchfield","CT","09","005","Litchfield ","Litchfield ","09005","f09005",0
"CT_Middlesex","CT","09","007","Middlesex ","Middlesex ","09007","f09007",16
"CT_New Haven","CT","09","009","New Haven ","New Haven ","09009","f09009",2
"CT_New London","CT","09","011","New London ","New London ","09011","f09011",6
"CT_Tolland","CT","09","013","Tolland ","Tolland ","09013","f09013",0
